
>
>
>
>v 1 Jul 10 2014, <A06636A0>
>a 19248,15168,15216,15232
>a 19312,15264,15184,15232
>a 19312,15344,15248,15216
>a 19296,15328,15312,15232
>a 19392,15200,15008,15232
>a 19280,15248,15200,15216
>a 19312,15216,15184,15264
>a 19312,15216,15200,15248
>a 19312,15200,15184,15232
>a 19328,15152,15216,15264
>a 19296,15216,15168,15216
>a 19264,15072,15280,15232
>a 19280,15200,15184,15200
>a 19216,15216,15216,15200
>a 19248,15184,15184,15216
>p 5,90
>a 19280,15152,15264,15216
>a 19296,15248,15040,15280
>p 5,0
>a 19296,15216,15152,15072
>a 19312,15216,15168,15264
>a 19296,15312,15184,15232
>a 19312,15296,15184,15296
>a 19312,15248,15264,15312
>a 19328,15184,15200,15248
>a 19312,15184,15152,15216
>a 19312,15216,15216,15232
>a 19328,15200,15200,15232
>a 19248,15216,15200,15200
>a 19328,15216,15200,15312
>a 19360,15200,15232,15232
>a 19312,15232,15200,15328
>a 19168,15216,15216,15200
>a 19312,15216,15200,15232
>a 19280,15280,15184,15248
>a 19280,15168,15280,15264
>a 19280,15216,15248,15200
>a 19328,15232,15120,15216
>a 19312,15200,15184,15184
>a 19376,15184,15200,15136
>a 19392,15216,15168,15216
>a 19376,15200,15200,15264
>a 19328,15216,15200,15248
>a 19296,15184,15184,15216
>a 19312,15216,15184,15216
>a 19328,15216,15200,15248
>a 19472,15200,15152,15184
>a 19440,15168,15120,15200
>a 19632,15280,15200,15152
>a 19952,15248,15280,15248
>a 20496,15216,15216,15200
>a 21392,15136,15200,15216
>a 22448,15232,15280,15248
>a 23552,15232,15168,15200
>a 24528,15264,15200,15216
>a 25552,15232,15264,15168
>a 26640,15232,15216,15216
>a 27728,15232,15200,15264
>a 28624,15280,15200,15232
>a 29664,15184,15184,15216
>a 30656,15280,15152,15296
>a 31536,15296,15184,15216
>a 32560,15312,15168,15248
>a 33712,15312,15200,15264
>a 34592,15344,15216,15216
>a 35568,15328,15184,15216
>a 36464,15312,15216,15264
>a 37280,15312,15040,15200
>a 38160,15376,15216,15184
>a 38976,15328,15168,15248
>a 39760,15408,15168,15232
>a 40608,15376,15200,15168
>a 41392,15392,15280,15200
>a 42032,15376,15184,15184
>a 42624,15392,15184,15216
>a 43136,15344,15168,15184
>a 43680,15376,15184,15152
>a 44016,15408,15200,15184
>a 44464,15408,15232,15216
>a 44704,15360,15168,15168
>a 45136,15392,15232,15200
>a 45424,15392,15152,15264
>a 45744,15440,15136,15200
>a 46000,15488,15184,15232
>a 46176,15344,15200,15200
>a 46384,15344,15184,15344
>a 46560,15504,15184,15184
>a 46752,15424,15216,15216
>a 46960,15408,15216,15248
>a 47072,15424,15280,15232
>a 47184,15472,15184,15152
>a 47344,15408,15216,15248
>a 47408,15376,15184,15232
>a 47600,15408,15200,15216
>a 47664,15392,15216,15248
>a 47760,15392,15216,15216
>a 47792,15376,15184,15216
>a 47920,15344,15184,15184
>a 48064,15408,15168,15248
>a 48000,15408,15184,15232
>a 48112,15312,15168,15216
>a 48224,15408,15120,15120
>a 48288,15408,15200,15216
>a 48400,15360,15200,15232
>a 48432,15424,15120,15120
>a 48400,15376,15168,15312
>a 48464,15408,15152,15248
>a 48496,15408,15200,15232
>a 48544,15392,15216,15200
>a 48624,15408,15168,15168
>a 48672,15472,15280,15216
>a 48688,15408,15152,15296
>a 48784,15456,15184,15248
>a 48752,15408,15200,15184
>a 48784,15520,15184,15312
>a 48896,15344,15216,15216
>a 48896,15312,15312,15248
>a 48896,15424,15152,15232
>a 48928,15344,15168,15264
>a 49008,15520,15168,15136
>a 48944,15504,15200,15200
>a 48944,15376,15216,15312
>a 49008,15392,15200,15248
>a 49008,15456,15216,15248
>a 49088,15456,15216,15264
>a 49120,15456,15280,15232
>a 49120,15424,15152,15184
>a 49104,15392,15200,15232
>a 49120,15376,15296,15216
>a 49136,15408,15184,15216
>a 49200,15392,15264,15168
>a 49200,15408,15136,15232
>a 49136,15440,15136,15216
>a 49232,15408,15216,15200
>a 49232,15472,15216,15312
>a 49248,15424,15136,15216
>a 49296,15440,15168,15232
>a 49312,15392,15184,15280
>a 49296,15408,15184,15296
>a 49264,15376,15200,15248
>a 49328,15280,15168,15216
>a 49376,15408,15280,15184
>a 49456,15408,15184,15200
>a 49328,15408,15200,15232
>a 49408,15408,15200,15200
>a 49424,15504,15184,15120
>a 49408,15408,15184,15200
>p 7,50
>a 40288,39040,15344,15232
>a 45424,45152,15424,15216
>a 44688,44384,15344,15232
>a 44048,43792,15408,15264
>a 43504,43120,15376,15200
>a 43008,42704,15408,15200
>a 42576,42288,15376,15216
>a 42240,41952,15360,15136
>a 42000,41728,15344,15264
>a 41824,41456,15344,15248
>a 41616,41296,15376,15216
>a 41408,41088,15344,15152
>a 41264,40944,15392,15264
>a 41104,40800,15488,15264
>a 40992,40624,15392,15248
>p 7,0
>a 47024,19408,15232,15216
>a 47888,15440,15200,15216
>a 48016,15392,15184,15200
>a 48208,15376,15152,15232
>a 48352,15344,15184,15216
>a 48448,15440,15184,15200
>a 48480,15424,15216,15232
>p 6,90
>a 35584,15280,16528,15200
>a 42272,15344,17232,15328
>a 41472,15440,17392,15232
>a 40832,15440,17632,15216
>a 40336,15312,17856,15264
>a 40032,15392,18048,15248
>a 39728,15376,18256,15280
>a 39504,15376,18480,15280
>a 39280,15376,18672,15216
>p 5,90
>a 39200,15344,20336,15264
>a 39056,15344,20752,15344
>a 39008,15376,21136,15264
>a 38944,15376,21504,15280
>a 38928,15408,21920,15280
>a 38912,15344,22224,15200
>a 38976,15344,22608,15376
>a 38992,15328,23008,15392
>a 39024,15328,23424,15296
>a 38976,15488,23808,15312
>a 39152,15312,24160,15312
>a 39216,15344,24432,15312
>a 39344,15376,24992,15248
>a 39264,15312,25344,15328
>a 39520,15248,25680,15328
>a 39584,15328,26048,15312
>a 39648,15440,26464,15344
>a 39776,15344,26848,15328
>a 39728,15344,27152,15280
>a 39632,15280,27632,15312
>a 39696,15328,27872,15312
>a 39744,15360,28368,15312
>a 39648,15392,28576,15344
>a 39664,15344,28960,15328
>a 39904,15312,29296,15344
>a 39712,15328,29584,15312
>a 39744,15344,29936,15344
>a 39824,15344,30304,15360
>a 39888,15328,30624,15344
>a 39904,15376,30928,15280
>a 39888,15344,31328,15344
>a 40048,15376,31648,15344
>a 40080,15472,31936,15360
>a 40080,15376,32256,15360
>a 40128,15344,32544,15344
>a 40224,15328,32864,15280
>a 40240,15376,33168,15264
>a 40256,15360,33440,15280
>a 40432,15392,33776,15392
>a 40432,15376,34048,15440
>a 40432,15392,34352,15408
>a 40544,15392,34608,15328
>a 40656,15376,34928,15376
>a 40688,15392,35136,15344
